experiment,model_file,strategy_return,hs300_return,excess_return,max_drawdown,drawdown_days,recovery_days,recovered,exp_key,exp_dir_norm,score
model/search_itransformer_74_3\exp_8,best_model.pth,2.7138957700000077,6.39611821790913,-3.6822224479091226,7.160978978594542,17,,False,search_itransformer_74_3/exp_8,model/search_itransformer_74_3/exp_8,-2.167402119951096
model/search_itransformer_74_3\exp_32,best_model.pth,2.5328127800000155,6.39611821790913,-3.8633054379091147,2.00804162763016,2,3.0,True,search_itransformer_74_3/exp_32,model/search_itransformer_74_3/exp_32,-0.7482790076617761
model/search_itransformer_74_3\exp_39,best_model_sliding.pth,2.320233820000017,6.39611821790913,-4.075884397909113,8.960351493913693,11,,False,search_itransformer_74_3/exp_39,model/search_itransformer_74_3/exp_39,-2.982777239546835
model/search_itransformer_74_3\exp_39,best_model.pth,2.247328300000029,6.39611821790913,-4.1487899179091015,8.960351493913693,11,,False,search_itransformer_74_3/exp_39,model/search_itransformer_74_3/exp_39,-3.0338111035468267
model/search_itransformer_74_3\exp_4,best_model_sliding.pth,2.2454361100000098,6.39611821790913,-4.1506821079091205,4.891154882554404,4,,False,search_itransformer_74_3/exp_4,model/search_itransformer_74_3/exp_4,-1.8143766531390535
model/search_itransformer_74_3\exp_4,best_model_sliding.pth,2.2454361100000098,6.39611821790913,-4.1506821079091205,4.891154882554404,4,,False,search_itransformer_74_3/exp_4,model/search_itransformer_74_3/exp_4,-1.8143766531390535
model/search_itransformer_74_3\exp_34,best_model.pth,2.184205610000012,6.39611821790913,-4.2119126079091185,3.4867616001705994,3,13.0,True,search_itransformer_74_3/exp_34,model/search_itransformer_74_3/exp_34,-1.4359200184239107
model/search_itransformer_74_3\exp_27,best_model_sliding.pth,2.0568825700000515,6.39611821790913,-4.339235647909079,2.9424676548820488,3,6.0,True,search_itransformer_74_3/exp_27,model/search_itransformer_74_3/exp_27,-1.3617579628373178
model/search_itransformer_74_3\exp_40,best_model_sliding.pth,1.9846169300000271,6.39611821790913,-4.411501287909103,11.922013460526992,11,,False,search_itransformer_74_3/exp_40,model/search_itransformer_74_3/exp_40,-4.106207652530818
model/search_itransformer_74_3\exp_16,best_model.pth,1.933977890000027,6.39611821790913,-4.462140327909103,5.288299666626779,11,5.0,True,search_itransformer_74_3/exp_16,model/search_itransformer_74_3/exp_16,-2.151540842360754
model/search_itransformer_74_3\exp_62,best_model.pth,1.7422071000000372,6.39611821790913,-4.653911117909093,5.275783743591682,11,,False,search_itransformer_74_3/exp_62,model/search_itransformer_74_3/exp_62,-2.2820256184502177
model/search_itransformer_74_3\exp_62,best_model_sliding.pth,1.7422071000000372,6.39611821790913,-4.653911117909093,5.275783743591682,11,,False,search_itransformer_74_3/exp_62,model/search_itransformer_74_3/exp_62,-2.2820256184502177
model/search_itransformer_74_3\exp_68,best_model.pth,1.4132572600000115,6.39611821790913,-4.982860957909119,10.550932618987954,15,,False,search_itransformer_74_3/exp_68,model/search_itransformer_74_3/exp_68,-4.094835169069118
model/search_itransformer_74_3\exp_68,best_model_sliding.pth,1.4132572600000115,6.39611821790913,-4.982860957909119,10.550932618987954,15,,False,search_itransformer_74_3/exp_68,model/search_itransformer_74_3/exp_68,-4.094835169069118
model/search_itransformer_74_3\exp_28,best_model_sliding.pth,1.197539720000007,6.39611821790913,-5.198578497909123,3.4079406766970486,7,,False,search_itransformer_74_3/exp_28,model/search_itransformer_74_3/exp_28,-2.102939864381849
model/search_itransformer_74_3\exp_3,best_model_sliding.pth,1.1417897700000124,6.39611821790913,-5.254328447909118,11.265080818469563,11,,False,search_itransformer_74_3/exp_3,model/search_itransformer_74_3/exp_3,-4.499106871913599
model/search_itransformer_74_3\exp_3,best_model_sliding.pth,1.1417897700000124,6.39611821790913,-5.254328447909118,11.265080818469563,11,,False,search_itransformer_74_3/exp_3,model/search_itransformer_74_3/exp_3,-4.499106871913599
